,Text
0,"@SMTuffy @thestonkmarket1 

Twitter recommends that I follow you. And Justin Beiber. https://t.co/CwleifnS1M"
1,"@AdamB1438 The downside is that you are a dentist. The single most reliable - but ultimately dull profession.

You… https://t.co/g6yoGPXqQB"
2,"@BagholderQuotes, can you please ensure that Eloise uses the Queen's English. https://t.co/0WmIJva7ny"
3,@maybebullish No explanation was required.
4,@maybebullish Andreesen Horrowitz
5,"@ignore89039500 Actually he could be smoking POT (NZ).

Ports of Tauranga looks pretty good over a decade. https://t.co/Ppp4dt04bi"
6,@ignore89039500 There is always Hutchison Port Trust. Here is ten years. https://t.co/pz0ssIBPJ5
7,"@Biohazard3737 @thestinkmarket He is a racist. That is where the analysis of Herbalife went wrong.

Deep down this… https://t.co/wdQdMjL0Ws"
8,@AdamB1438 @Biohazard3737 @thestinkmarket Nothing.
9,@Biohazard3737 Would have been a good trade to buy MDXG on the delist (I only bought back). But the jury is out on… https://t.co/U198gi7HAK
10,@Biohazard3737 @thestinkmarket No accounting for bad taste.
11,@thestinkmarket @CGasparino I prefer my drink in glasses.
12,@thestinkmarket @Nd172557208 But imagine - when Bill pays $20 for a burrito - how much it would cost to have the munchies with him.
13,"@thestinkmarket When this lockdown is over I will meet you. 

I am going to be disappointed when you bring… https://t.co/5aVdiECWhr"
14,@Nd172557208 @thestinkmarket You are also more likely to get an honest deal (at least compared to Billy's Herbalife BS.
15,"@PhillipForAll @BillAckman @Jkylebass Herbalife is a deeply ethical business. I am proud to own it.

The fact that… https://t.co/T6g1GwF3qY"
16,@JoelDeteves @jimcramer You should. Great business.
17,@thestinkmarket I am on the record stating I would rather hang out with prostitutes and drug dealers than Bill Ackm… https://t.co/xMGURcLKRy
18,"@AdamB1438 @iamstacetheace Fuel price is low (a big plus for RVs). Desire to be not locked down is high.

I buy it."
19,@AdamB1438 @Guruleaks1 @WhitneyTilson @BillAckman @sethklarman @davidein @SECEnfDirectors The funny thing - he was… https://t.co/UVOE0Orwea
20,@SmithBrianAU @irascibleme Ha - I clipped the 1992 recession. I know the feeling.
21,@jdjove I own both. But prefer KWS. It is just relatively illiquid.
22,@irascibleme Pretty well - but hiring is hard.
23,"@ibexsalad @grodaeu @jeuasommenulle Lies, damned lies and statistics."
24,"Two schools in the Eastern suburbs of Sydney (always the highest density COVID area of Sydney) had cases

a) too ea… https://t.co/caVijv2EmW"
25,@dubpgmb I did not copy HHC.
26,@lucysunman @BetootaAdvocate Yes he was definitely at Avalon.
27,@ignore89039500 Yes - but ... they are on the winning side of the trade thus far.
28,@Tpsmyth01 Which you could buy for about USD8 million - but with a decently crashed currency on top of a housing market crash - well -
29,"@Tpsmyth01 I have the same view occasionally. The currency will take a lot of the correction. 

Then Australian bea… https://t.co/DXUSHmNiUi"
30,"@Brenray1929 @AsennaWealth That is true. Last year a few days of rain would have been just dandy.

At least my water tanks are full."
31,@AsennaWealth It is foul. Just foul.
32,@AsennaWealth Lousy weather though.
33,@sevencornerscap pretty hard.
34,@crookedfootball @dsquareddigest The Stones can be astonishingly misogynistic. Aftermath is perhaps the most misogy… https://t.co/6Ool9gLbPo
35,@Cowardly_Lion96 @dsquareddigest That is also how I read it.
36,"@jdjove Corteva is not debt free.

a) cyclical debt - as very seasonal business
b) left with huge pension shortfall… https://t.co/cdj2gSHvgw"
37,@grodaeu You don't seem to be confused.
38,"@Jamie_Freed Yes, but it was a full-blown rescue at sea. It was not a pleasant experience."
39,@Jamie_Freed I know someone who lost a sailboat to hitting a 90 percent submerged container. The container had just enough in it to float.
40,"@Skydropltd @RollsRoyce I knew it was difficult. It became more difficult. So I gave up. Small loss, big opportunity cost and brain damage."
41,@Skydropltd @RollsRoyce I did.
42,"@AlderLaneeggs @Gabe_Bernarde @RalphLipford @JosephNWalker Gee, thanks."
43,@Paul91701736 Mt Ruapehu in early summer? Mt Taranaki in the background?
44,@thejotho @DailyMailCeleb She used to date his brother.
45,"@AlderLaneeggs @RalphLipford @Gabe_Bernarde @JosephNWalker Hard liquor, hard pass."
46,"@RalphLipford @AlderLaneeggs @Gabe_Bernarde @JosephNWalker You do not want it. Poisonous instant hangover.

Good company though."
47,"@thestinkmarket @CGasparino Oh Eloise, that is not a nice way to treat for future sixth husband."
48,"@anthonypesec @JoshFrydenberg @ScottMorrisonMP maybe, but he has no legal right to interfere. The legislation speci… https://t.co/cnkYGq7EUS"
49,@anthonypesec @JoshFrydenberg @ScottMorrisonMP If the Treasurer - in defiance of the charter of budget honesty - tr… https://t.co/RK711so3px
50,"@anthonypesec @JoshFrydenberg @ScottMorrisonMP I do not think it is Frydenberg's fault.

The Treasury would see Fry… https://t.co/WC54fAE3xC"
51,"@anthonypesec @JoshFrydenberg @ScottMorrisonMP The duties are legislated.

My experience is that public servants ta… https://t.co/qH2nuqDIWv"
52,@anthonypesec @JoshFrydenberg I am going to disagree with you here. Charter of budget honesty as far as I know make… https://t.co/j7zKVlgv6O
53,@_saranbaskar thank you.
54,@88888sAccount I wish the shops were as responsible here.
55,@ElaineCapital That is true. Pass.
56,"RT @Guruleaks1: Failed Fund Manager @WhitneyTilson marketing $6000 ""partnerships"" in his firm, without offering any equity...

#Readthefine…"
57,@Anonymous7902 @Guruleaks1 @WhitneyTilson @BillAckman @sethklarman @davidein @SECEnfDirectors They may have been legit. They did not work.
58,@Zamantan3 @rbr2201 @88888sAccount Sure as hell sunk in for me.
59,"@rbr2201 @Zamantan3 @88888sAccount Going to be fun when Europe outperforms America. 

It has before. It will again.… https://t.co/t5fFJzRB8x"
60,"@thestinkmarket @CGasparino Microsoft. Yeah, that is right, ain't it Charlie."
61,"@thestinkmarket Tell him he reminds you of your second husband.

(Better than your third husband who worked at Micr… https://t.co/3xFoeGwGuJ"
62,@rbr2201 @88888sAccount So would I.
63,"@thestinkmarket Isn't that how you met your second husband?

@CGasparino are you up for it?"
64,@RyanScottNelson https://t.co/zX7Vzfh4kJ
65,@88888sAccount Because he is Australias best fund salesman and $BABA is saleable.
66,@hamnched @QTRResearch QTR is a racist. Has been the whole time. His enmity towards Kamala is just part of it.
67,@NewsAccuse @wheeldon @taxlosstrades @BluestarAir4 @longhorncapital @ASXlongshort I think I will just block you.
68,@NewsAccuse @wheeldon @taxlosstrades @BluestarAir4 @longhorncapital @ASXlongshort No - but I am always wary of peop… https://t.co/EFQieKBkjd
